order_id,user_id,status,amount,region,priority,order_date
ORD-500001,USR-1410,Cancelled,1139.77,South,Low,2023-02-22
ORD-500002,USR-15618,Completed,2677.69,North,High,2023-02-17
ORD-500003,USR-9280,Completed,2547.54,West,High,2023-08-18
ORD-500004,USR-14262,Completed,3426.69,South,Low,2023-08-05
ORD-500005,USR-3548,Pending,4309.6,East,High,2023-02-17
ORD-500006,USR-6882,Cancelled,2736.58,North,Low,2023-08-24
ORD-500007,USR-7202,Completed,2506.58,East,Low,2023-04-09
ORD-500008,USR-1751,Pending,3490.15,North,High,2024-03-19
ORD-500009,USR-5555,Processing,2878.8,East,High,2023-07-09
ORD-500010,USR-11981,Cancelled,3173.1,North,Low,2023-11-22
ORD-500011,USR-12947,Pending,777.14,West,Medium,2023-11-24
ORD-500012,USR-4599,Cancelled,3800.69,North,High,2024-02-25
ORD-500013,,Cancelled,1835.18,North,High,2023-10-18
ORD-500014,USR-6156,Pending,2966.7,West,Low,2023-08-23
ORD-500015,USR-3288,Pending,3365.2,East,Low,2023-10-27
ORD-500016,USR-10561,Processing,1660.88,South,Low,2023-09-10
ORD-500017,USR-1772,Completed,730.14,South,Low,2023-08-05
ORD-500018,USR-7305,Processing,2701.7,West,Low,2023-05-09
ORD-500019,USR-15104,Completed,3077.26,North,Low,2023-10-02
ORD-500020,USR-13593,Cancelled,546.41,West,High,2023-08-21
ORD-500021,,Cancelled,4374.9,South,Low,2023-02-24
ORD-500022,USR-5890,Pending,730.13,South,Low,2024-02-03
ORD-500023,USR-1010,Cancelled,2224.3,North,Medium,2024-03-25
ORD-500024,USR-14219,Cancelled,1115.56,South,Low,2023-02-10
ORD-500025,USR-8963,Completed,4402.03,South,High,2023-12-04
ORD-500026,USR-10008,Pending,1229.5,West,High,2023-10-04
ORD-500027,USR-12303,Pending,3222.62,West,Low,2023-11-29
ORD-500028,USR-15740,Processing,588.47,South,High,2023-06-23
ORD-500029,,Pending,2668.56,North,High,2023-12-29
ORD-500030,USR-4751,Completed,4079.12,East,High,2023-09-21
ORD-500031,USR-11961,Processing,1003.35,South,Low,2023-10-20
ORD-500032,USR-4982,Processing,3643.36,South,High,2023-02-19
ORD-500033,USR-6805,Processing,1879.41,North,Low,2023-12-01
ORD-500034,USR-2613,Completed,1841.66,East,High,2023-05-08
ORD-500035,USR-9787,Processing,673.81,South,Medium,2023-08-25
ORD-500036,USR-2236,Processing,3645.7,North,High,2023-11-30
ORD-500037,USR-14698,Completed,4362.03,South,High,2023-07-28
ORD-500038,USR-4503,Processing,4065.87,South,Medium,2023-01-02
ORD-500039,USR-5346,Processing,1319.36,West,High,2023-04-08
ORD-500040,USR-1959,Completed,3378.49,North,High,2023-10-27
ORD-500041,USR-14971,Pending,303.11,North,High,2023-02-05
ORD-500042,USR-12063,Pending,1846.8,South,Low,2023-11-01
ORD-500043,,Completed,1915.55,East,Medium,2023-04-15
ORD-500044,USR-6148,Pending,1231.98,South,Low,2023-11-27
ORD-500045,USR-6181,Completed,91.45,North,High,2023-10-03
ORD-500046,USR-5346,Pending,4203.0,North,High,2023-07-09
ORD-500047,USR-8180,Cancelled,2771.97,North,Low,2024-02-23
ORD-500048,USR-11869,Completed,4228.24,South,Medium,2023-03-01
ORD-500049,USR-13164,Pending,1261.95,South,Low,2023-06-25
ORD-500050,USR-11392,Cancelled,2299.07,East,High,2023-02-17
ORD-500051,USR-14589,Cancelled,246.19,East,High,2023-11-23
ORD-500052,USR-3648,Processing,2504.98,West,Low,2023-01-05
ORD-500053,USR-15469,Pending,2477.88,East,Low,2023-10-10
ORD-500054,USR-3089,Completed,1421.75,North,Medium,2023-04-18
ORD-500055,USR-11928,Completed,1623.87,West,Low,2024-01-19
ORD-500056,USR-4879,Pending,4394.12,South,Medium,2023-01-13
ORD-500057,USR-6443,Processing,3619.95,South,Medium,2023-03-23
ORD-500058,USR-2772,Processing,3931.14,West,High,2023-04-13
ORD-500059,USR-8542,Cancelled,1408.1,South,High,2023-01-13
ORD-500060,USR-7529,Cancelled,1289.78,North,Medium,2023-06-29
ORD-500061,USR-7549,Cancelled,4229.61,North,Medium,2023-04-02
ORD-500062,USR-5350,Completed,532.39,West,Medium,2024-01-09
ORD-500063,USR-8150,Completed,1764.12,South,Medium,2023-01-23
ORD-500064,USR-1028,Pending,1670.79,North,Low,2023-06-19
ORD-500065,USR-11869,Completed,3252.91,East,Low,2023-06-08
ORD-500066,USR-6345,Processing,3152.58,South,High,2023-08-04
ORD-500067,USR-7212,Pending,2789.04,East,Medium,2023-10-08
ORD-500068,USR-5979,Cancelled,985.31,East,Medium,2023-08-15
ORD-500069,USR-4502,Processing,3582.12,South,Low,2023-02-13
ORD-500070,USR-11877,Cancelled,465.57,South,Low,2023-06-08
ORD-500071,USR-4263,Pending,158.69,South,Medium,2023-11-09
ORD-500072,USR-2194,Processing,1894.26,South,Low,2023-12-23
ORD-500073,USR-7548,Pending,706.69,North,High,2024-02-03
ORD-500074,USR-3882,Processing,273.47,South,High,2023-08-22
ORD-500075,USR-8613,Cancelled,4277.68,West,Low,2024-02-22
ORD-500076,USR-9271,Processing,3746.03,West,High,2024-01-16
ORD-500077,USR-8374,Cancelled,3395.41,East,Low,2023-09-06
ORD-500078,USR-5500,Processing,394.8,East,High,2023-05-20
ORD-500079,USR-15632,Completed,665.76,South,Medium,2023-12-22
ORD-500080,USR-4506,Completed,1896.16,East,Low,2023-08-27
ORD-500081,USR-4389,Processing,1783.17,North,Low,2023-07-14
ORD-500082,USR-6764,Cancelled,3402.96,West,Low,2024-01-18
ORD-500083,USR-14106,Pending,2222.62,East,Medium,2023-09-06
ORD-500084,,Cancelled,3026.49,West,Low,2023-03-26
