product_id,old_name,category,price,base_price
P-10001,Smart Hub v9,Electronics,1270.48,1270.48
P-10002,Portable Tablet v3,Clothing,728.70,728.7
P-10003,Ergonomic Headphones v2,Sports,668.51,668.51
P-10004,Compact Hub v4,Electronics,1176.62,1176.62
P-10005,Wireless Chair v9,Appliances,105.11,105.11
P-10006,Ergonomic Monitor v6,Appliances,735.78,735.78
P-10007,Ultra Headphones v1,Furniture,1154.72,1154.72
P-10008,Portable Desk v3,Furniture,102.46,102.46
P-10009,Ergonomic Keyboard v2,Clothing,452.60,452.6
P-10010,Portable Mouse v1,Books,177.24,177.24
P-10011,Wireless Headphones v8,Books,1421.04,1421.04
P-10012,Premium Speaker v6,Electronics,898.19,898.19
P-10013,Premium Monitor v7,Furniture,145.01,145.01
P-10014,Smart Speaker v8,Sports,1086.40,1086.4
P-10015,Pro Desk v7,Sports,1076.28,1076.28
P-10016,Ergonomic Desk v3,Clothing,161.13,161.13
P-10017,Portable Chair v8,Appliances,172.15,172.15
P-10018,Wireless Monitor v8,Books,446.02,446.02
P-10019,Portable Desk v7,Furniture,1097.06,1097.06
P-10020,Ergonomic Chair v2,Clothing,335.50,335.5
P-10021,Wireless Desk v1,Books,38.23,38.23
P-10022,Compact Mouse v3,Furniture,740.71,740.71
P-10023,Ultra Camera v8,Appliances,675.17,675.17
P-10024,Ergonomic Mouse v2,Books,1470.72,1470.72
P-10025,Portable Speaker v4,Sports,1172.35,1172.35
P-10026,Compact Keyboard v6,Books,1354.66,1354.66
P-10027,Pro Chair v9,Furniture,1226.46,1226.46
P-10028,Pro Camera v7,Books,1061.15,1061.15
P-10029,Ultra Keyboard v2,Electronics,658.07,658.07
P-10030,Pro Mouse v9,Books,725.61,725.61
P-10031,Ergonomic Chair v7,Books,277.24,277.24
P-10032,Smart Speaker v6,Appliances,1266.15,1266.15
P-10033,Pro Hub v4,Electronics,1121.45,1121.45
P-10034,Compact Desk v2,Clothing,1089.48,1089.48
P-10035,Ultra Keyboard v6,Furniture,962.72,962.72
P-10036,Compact Monitor v2,Electronics,878.27,878.27
P-10037,Wireless Tablet v7,Clothing,1015.17,1015.17
P-10038,Ergonomic Mouse v2,Sports,178.60,178.6
P-10039,Portable Keyboard v3,Sports,177.79,177.79
P-10040,Premium Mouse v6,Appliances,1028.54,1028.54
P-10041,Ultra Desk v5,Appliances,784.15,784.15
P-10042,Portable Camera v7,Electronics,550.01,550.01
P-10043,Premium Keyboard v8,Clothing,595.01,595.01
P-10044,Smart Headphones v3,Furniture,903.73,903.73
P-10045,Portable Monitor v5,Appliances,1328.36,1328.36
P-10046,Ergonomic Speaker v3,Furniture,950.53,950.53
P-10047,Premium Speaker v9,Sports,707.06,707.06
P-10048,Smart Speaker v4,Books,1153.24,1153.24
P-10049,Portable Hub v8,Furniture,520.21,520.21
P-10050,Portable Camera v7,Books,578.81,578.81
P-10051,Ultra Mouse v6,Sports,619.25,619.25
P-10052,Ergonomic Hub v2,Clothing,1363.94,1363.94
P-10053,Pro Chair v1,Clothing,211.35,211.35
P-10054,Ultra Tablet v3,Electronics,239.22,239.22
P-10055,Wireless Tablet v4,Appliances,301.48,301.48
P-10056,Portable Monitor v4,Clothing,1466.09,1466.09
P-10057,Ergonomic Headphones v7,Electronics,552.19,552.19
P-10058,Ergonomic Monitor v2,Sports,1410.03,1410.03
P-10059,Ergonomic Speaker v1,Electronics,1306.00,1306.0
P-10060,Smart Desk v4,Sports,1283.22,1283.22
P-10061,Ultra Chair v1,Electronics,801.07,801.07
P-10062,Ergonomic Desk v5,Appliances,1469.05,1469.05
P-10063,Compact Speaker v3,Electronics,1207.75,1207.75
P-10064,Ergonomic Headphones v5,Books,793.84,793.84
P-10065,Pro Mouse v5,Books,367.96,367.96
P-10066,Premium Tablet v9,Furniture,148.54,148.54
