order_id,status,updated_at
ORD1,Placed,2026-04-17 19:55:00
ORD1,Preparing,2026-04-17 20:00:00
ORD1,Out For Delivery,2026-04-17 20:06:00
ORD1,Delivered,2026-04-17 20:17:00
ORD10,Placed,2026-04-17 11:23:00
ORD10,Cancelled,2026-04-17 11:33:00
ORD100,Placed,2026-04-17 16:24:00
ORD100,Preparing,2026-04-17 16:39:00
ORD100,Out For Delivery,2026-04-17 16:51:00
ORD100,Delivered,2026-04-17 17:01:00
ORD1000,Placed,2026-04-17 12:23:00
ORD1000,Preparing,2026-04-17 12:28:00
ORD1000,Out For Delivery,2026-04-17 12:36:00
ORD1000,Delivered,2026-04-17 12:43:00
ORD10000,Placed,2026-04-17 13:15:00
ORD10000,Preparing,2026-04-17 13:29:00
ORD10000,Out For Delivery,2026-04-17 13:42:00
ORD10000,Delivered,2026-04-17 13:50:00
ORD10001,Placed,2026-04-17 10:29:00
ORD10001,Cancelled,2026-04-17 10:40:00
ORD10002,Placed,2026-04-17 16:05:00
ORD10002,Cancelled,2026-04-17 16:15:00
ORD10003,Placed,2026-04-17 17:59:00
ORD10003,Preparing,2026-04-17 18:04:00
ORD10003,Out For Delivery,2026-04-17 18:18:00
ORD10003,Delivered,2026-04-17 18:29:00
ORD10004,Placed,2026-04-17 14:33:00
ORD10004,Cancelled,2026-04-17 14:42:00
ORD10005,Placed,2026-04-17 17:32:00
ORD10005,Preparing,2026-04-17 17:39:00
ORD10005,Out For Delivery,2026-04-17 17:46:00
ORD10005,Delivered,2026-04-17 17:58:00
ORD10006,Placed,2026-04-17 15:35:00
ORD10006,Preparing,2026-04-17 15:45:00
ORD10006,Out For Delivery,2026-04-17 15:51:00
ORD10006,Delivered,2026-04-17 16:01:00
ORD10007,Placed,2026-04-17 15:00:00
ORD10007,Cancelled,2026-04-17 15:14:00
ORD10008,Placed,2026-04-17 14:52:00
ORD10008,Cancelled,2026-04-17 15:01:00
ORD10009,Placed,2026-04-17 17:05:00
ORD10009,Preparing,2026-04-17 17:20:00
ORD10009,Out For Delivery,2026-04-17 17:34:00
ORD10009,Delivered,2026-04-17 17:45:00
ORD1001,Placed,2026-04-17 11:58:00
ORD1001,Cancelled,2026-04-17 12:13:00
ORD10010,Placed,2026-04-17 18:56:00
ORD10010,Preparing,2026-04-17 19:08:00
ORD10010,Out For Delivery,2026-04-17 19:15:00
ORD10010,Delivered,2026-04-17 19:25:00
ORD10011,Placed,2026-04-17 19:01:00
ORD10011,Preparing,2026-04-17 19:16:00
ORD10011,Out For Delivery,2026-04-17 19:30:00
ORD10011,Delivered,2026-04-17 19:40:00
ORD10012,Placed,2026-04-17 18:58:00
ORD10012,Preparing,2026-04-17 19:07:00
ORD10012,Out For Delivery,2026-04-17 19:22:00
ORD10012,Delivered,2026-04-17 19:30:00
ORD10013,Placed,2026-04-17 12:13:00
ORD10013,Cancelled,2026-04-17 12:25:00
ORD10014,Placed,2026-04-17 16:41:00
ORD10014,Preparing,2026-04-17 16:51:00
ORD10014,Out For Delivery,2026-04-17 16:57:00
ORD10014,Delivered,2026-04-17 17:04:00
ORD10015,Placed,2026-04-17 11:08:00
ORD10015,Preparing,2026-04-17 11:21:00
ORD10015,Out For Delivery,2026-04-17 11:32:00
ORD10015,Delivered,2026-04-17 11:44:00
ORD10016,Placed,2026-04-17 19:33:00
ORD10016,Cancelled,2026-04-17 19:38:00
ORD10017,Placed,2026-04-17 17:41:00
ORD10017,Preparing,2026-04-17 17:49:00
ORD10017,Out For Delivery,2026-04-17 17:57:00
ORD10017,Delivered,2026-04-17 18:10:00
ORD10018,Placed,2026-04-17 11:30:00
ORD10018,Preparing,2026-04-17 11:40:00
ORD10018,Out For Delivery,2026-04-17 11:55:00
ORD10018,Delivered,2026-04-17 12:08:00
ORD10019,Placed,2026-04-17 16:16:00
ORD10019,Preparing,2026-04-17 16:28:00
ORD10019,Out For Delivery,2026-04-17 16:41:00
ORD10019,Delivered,2026-04-17 16:46:00
ORD1002,Placed,2026-04-17 18:25:00
ORD1002,Preparing,2026-04-17 18:33:00
ORD1002,Out For Delivery,2026-04-17 18:47:00
ORD1002,Delivered,2026-04-17 18:55:00
ORD10020,Placed,2026-04-17 14:04:00
ORD10020,Cancelled,2026-04-17 14:16:00
ORD10021,Placed,2026-04-17 18:17:00
ORD10021,Preparing,2026-04-17 18:24:00
ORD10021,Out For Delivery,2026-04-17 18:34:00
ORD10021,Delivered,2026-04-17 18:46:00
ORD10022,Placed,2026-04-17 12:37:00
ORD10022,Preparing,2026-04-17 12:42:00
ORD10022,Out For Delivery,2026-04-17 12:47:00
ORD10022,Delivered,2026-04-17 12:53:00
ORD10023,Placed,2026-04-17 19:34:00
ORD10023,Preparing,2026-04-17 19:48:00
ORD10023,Out For Delivery,2026-04-17 20:02:00
ORD10023,Delivered,2026-04-17 20:12:00
ORD10024,Placed,2026-04-17 18:20:00
ORD10024,Cancelled,2026-04-17 18:25:00
ORD10025,Placed,2026-04-17 17:54:00
ORD10025,Preparing,2026-04-17 18:06:00
ORD10025,Out For Delivery,2026-04-17 18:20:00
ORD10025,Delivered,2026-04-17 18:32:00
ORD10026,Placed,2026-04-17 13:43:00
ORD10026,Preparing,2026-04-17 13:48:00
ORD10026,Out For Delivery,2026-04-17 14:00:00
ORD10026,Delivered,2026-04-17 14:08:00
ORD10027,Placed,2026-04-17 10:52:00
ORD10027,Preparing,2026-04-17 10:57:00
ORD10027,Out For Delivery,2026-04-17 11:10:00
ORD10027,Delivered,2026-04-17 11:24:00
ORD10028,Placed,2026-04-17 17:35:00
ORD10028,Preparing,2026-04-17 17:47:00
ORD10028,Out For Delivery,2026-04-17 17:58:00
ORD10028,Delivered,2026-04-17 18:09:00
ORD10029,Placed,2026-04-17 11:50:00
ORD10029,Preparing,2026-04-17 12:01:00
ORD10029,Out For Delivery,2026-04-17 12:09:00
ORD10029,Delivered,2026-04-17 12:23:00
ORD1003,Placed,2026-04-17 15:50:00
ORD1003,Preparing,2026-04-17 16:01:00
ORD1003,Out For Delivery,2026-04-17 16:16:00
ORD1003,Delivered,2026-04-17 16:21:00
ORD10030,Placed,2026-04-17 19:52:00
ORD10030,Preparing,2026-04-17 20:05:00
ORD10030,Out For Delivery,2026-04-17 20:18:00
ORD10030,Delivered,2026-04-17 20:30:00
ORD10031,Placed,2026-04-17 19:48:00
ORD10031,Preparing,2026-04-17 20:00:00
ORD10031,Out For Delivery,2026-04-17 20:07:00
ORD10031,Delivered,2026-04-17 20:12:00
ORD10032,Placed,2026-04-17 15:54:00
ORD10032,Preparing,2026-04-17 16:06:00
ORD10032,Out For Delivery,2026-04-17 16:16:00
ORD10032,Delivered,2026-04-17 16:28:00
ORD10033,Placed,2026-04-17 16:26:00
ORD10033,Preparing,2026-04-17 16:32:00
ORD10033,Out For Delivery,2026-04-17 16:40:00
ORD10033,Delivered,2026-04-17 16:48:00
ORD10034,Placed,2026-04-17 14:58:00
ORD10034,Preparing,2026-04-17 15:04:00
ORD10034,Out For Delivery,2026-04-17 15:19:00
ORD10034,Delivered,2026-04-17 15:25:00
ORD10035,Placed,2026-04-17 18:18:00
ORD10035,Cancelled,2026-04-17 18:30:00
ORD10036,Placed,2026-04-17 16:15:00
ORD10036,Preparing,2026-04-17 16:24:00
ORD10036,Out For Delivery,2026-04-17 16:36:00
ORD10036,Delivered,2026-04-17 16:43:00
ORD10037,Placed,2026-04-17 17:57:00
ORD10037,Preparing,2026-04-17 18:04:00
ORD10037,Out For Delivery,2026-04-17 18:11:00
ORD10037,Delivered,2026-04-17 18:20:00
ORD10038,Placed,2026-04-17 15:14:00
ORD10038,Preparing,2026-04-17 15:21:00
ORD10038,Out For Delivery,2026-04-17 15:31:00
ORD10038,Delivered,2026-04-17 15:36:00
ORD10039,Placed,2026-04-17 15:05:00
ORD10039,Preparing,2026-04-17 15:13:00
ORD10039,Out For Delivery,2026-04-17 15:25:00
ORD10039,Delivered,2026-04-17 15:36:00
ORD1004,Placed,2026-04-17 16:38:00
ORD1004,Preparing,2026-04-17 16:47:00
ORD1004,Out For Delivery,2026-04-17 16:57:00
ORD1004,Delivered,2026-04-17 17:04:00
ORD10040,Placed,2026-04-17 10:45:00
ORD10040,Cancelled,2026-04-17 10:56:00
ORD10041,Placed,2026-04-17 14:24:00
ORD10041,Preparing,2026-04-17 14:37:00
ORD10041,Out For Delivery,2026-04-17 14:45:00
ORD10041,Delivered,2026-04-17 15:00:00
ORD10042,Placed,2026-04-17 19:21:00
ORD10042,Preparing,2026-04-17 19:36:00
ORD10042,Out For Delivery,2026-04-17 19:43:00
ORD10042,Delivered,2026-04-17 19:58:00
ORD10043,Placed,2026-04-17 10:34:00
ORD10043,Preparing,2026-04-17 10:40:00
ORD10043,Out For Delivery,2026-04-17 10:52:00
ORD10043,Delivered,2026-04-17 11:01:00
ORD10044,Placed,2026-04-17 18:39:00
ORD10044,Cancelled,2026-04-17 18:48:00
ORD10045,Placed,2026-04-17 11:57:00
ORD10045,Preparing,2026-04-17 12:09:00
ORD10045,Out For Delivery,2026-04-17 12:24:00
ORD10045,Delivered,2026-04-17 12:29:00
ORD10046,Placed,2026-04-17 11:19:00
ORD10046,Cancelled,2026-04-17 11:25:00
ORD10047,Placed,2026-04-17 11:47:00
ORD10047,Cancelled,2026-04-17 12:00:00
ORD10048,Placed,2026-04-17 10:15:00
ORD10048,Preparing,2026-04-17 10:23:00
ORD10048,Out For Delivery,2026-04-17 10:31:00
ORD10048,Delivered,2026-04-17 10:46:00
ORD10049,Placed,2026-04-17 15:48:00
ORD10049,Cancelled,2026-04-17 16:01:00
ORD1005,Placed,2026-04-17 15:35:00
ORD1005,Preparing,2026-04-17 15:44:00
ORD1005,Out For Delivery,2026-04-17 15:50:00
ORD1005,Delivered,2026-04-17 15:59:00
ORD10050,Placed,2026-04-17 13:57:00
ORD10050,Preparing,2026-04-17 14:04:00
ORD10050,Out For Delivery,2026-04-17 14:11:00
ORD10050,Delivered,2026-04-17 14:18:00
ORD10051,Placed,2026-04-17 13:00:00
ORD10051,Preparing,2026-04-17 13:08:00
ORD10051,Out For Delivery,2026-04-17 13:18:00
ORD10051,Delivered,2026-04-17 13:33:00
ORD10052,Placed,2026-04-17 10:30:00
ORD10052,Cancelled,2026-04-17 10:40:00
ORD10053,Placed,2026-04-17 18:37:00
ORD10053,Cancelled,2026-04-17 18:52:00
ORD10054,Placed,2026-04-17 13:32:00
ORD10054,Preparing,2026-04-17 13:42:00
ORD10054,Out For Delivery,2026-04-17 13:51:00
ORD10054,Delivered,2026-04-17 14:00:00
ORD10055,Placed,2026-04-17 18:19:00
ORD10055,Preparing,2026-04-17 18:33:00
ORD10055,Out For Delivery,2026-04-17 18:46:00
ORD10055,Delivered,2026-04-17 18:51:00
ORD10056,Placed,2026-04-17 13:13:00
ORD10056,Preparing,2026-04-17 13:24:00
ORD10056,Out For Delivery,2026-04-17 13:37:00
ORD10056,Delivered,2026-04-17 13:48:00
ORD10057,Placed,2026-04-17 13:25:00
ORD10057,Preparing,2026-04-17 13:35:00
ORD10057,Out For Delivery,2026-04-17 13:42:00
ORD10057,Delivered,2026-04-17 13:51:00
ORD10058,Placed,2026-04-17 19:44:00
ORD10058,Preparing,2026-04-17 19:53:00
ORD10058,Out For Delivery,2026-04-17 20:02:00
ORD10058,Delivered,2026-04-17 20:15:00
ORD10059,Placed,2026-04-17 13:52:00
ORD10059,Cancelled,2026-04-17 14:05:00
ORD1006,Placed,2026-04-17 11:38:00
ORD1006,Preparing,2026-04-17 11:49:00
ORD1006,Out For Delivery,2026-04-17 12:00:00
ORD1006,Delivered,2026-04-17 12:07:00
ORD10060,Placed,2026-04-17 11:25:00
ORD10060,Preparing,2026-04-17 11:35:00
ORD10060,Out For Delivery,2026-04-17 11:44:00
ORD10060,Delivered,2026-04-17 11:56:00
ORD10061,Placed,2026-04-17 15:33:00
ORD10061,Preparing,2026-04-17 15:45:00
ORD10061,Out For Delivery,2026-04-17 16:00:00
ORD10061,Delivered,2026-04-17 16:07:00
ORD10062,Placed,2026-04-17 16:52:00
ORD10062,Preparing,2026-04-17 17:06:00
ORD10062,Out For Delivery,2026-04-17 17:15:00
ORD10062,Delivered,2026-04-17 17:23:00
ORD10063,Placed,2026-04-17 16:47:00
ORD10063,Cancelled,2026-04-17 16:58:00
ORD10064,Placed,2026-04-17 11:36:00
ORD10064,Preparing,2026-04-17 11:50:00
