order_id,customer_id,order_timestamp,total_amount,status
ORD00001,CUST0317,2025-01-05 11:48:00,1055.53,Preparing
ORD00002,CUST0365,2026-05-14 04:44:00,895.16,Cancelled
ORD00003,CUST0154,2025-01-13 18:50:00,1507.26,Placed
ORD00004,CUST0475,2025-02-10 20:05:00,655.77,Preparing
ORD00005,CUST0788,2026-01-03 05:32:00,1848.93,Cancelled
ORD00006,CUST0805,2025-03-09 10:18:00,2154.29,Delivered
ORD00007,CUST0700,2025-07-18 07:13:00,1556.5,Preparing
ORD00008,CUST0100,2026-02-17 00:09:00,842.9,Placed
ORD00009,CUST0174,2026-04-24 09:10:00,1483.63,Out For Delivery
ORD00010,CUST0791,2025-08-24 08:30:00,1931.55,Delivered
ORD00011,CUST0127,2026-05-13 18:31:00,2161.61,Delivered
ORD00012,CUST0697,2025-03-08 14:23:00,1599.12,Out For Delivery
ORD00013,CUST0519,2025-08-19 08:56:00,1738.13,Cancelled
ORD00014,CUST0810,2025-05-06 22:52:00,470.95,Placed
ORD00015,CUST0409,2026-03-14 02:14:00,1209.47,Placed
ORD00016,CUST0548,2026-04-06 14:06:00,1856.27,Delivered
ORD00017,CUST0337,2025-02-03 10:21:00,1267.11,Delivered
ORD00018,CUST0559,2025-03-21 15:09:00,868.45,Placed
ORD00019,CUST0064,2026-04-25 11:50:00,1236.18,Placed
ORD00021,CUST0084,2025-06-02 22:28:00,1359.47,Out For Delivery
ORD00022,CUST0917,2026-04-07 13:21:00,812.57,Preparing
ORD00023,CUST0487,2025-10-02 22:50:00,1772.06,Out For Delivery
ORD00024,CUST0843,2025-01-06 17:50:00,576.54,Cancelled
ORD00025,CUST0844,2026-04-26 23:47:00,1859.5,Placed
ORD00026,CUST0152,2025-09-13 10:07:00,1717.47,Out For Delivery
ORD00028,CUST0193,2025-08-04 22:34:00,1542.26,Preparing
ORD00029,CUST0996,2025-12-14 18:00:00,973.11,Out For Delivery
ORD00030,CUST0889,2025-03-05 22:31:00,1194.39,Delivered
ORD00031,CUST0437,2025-09-25 10:07:00,1201.18,Out For Delivery
ORD00032,CUST0556,2025-08-12 12:18:00,1752.52,Delivered
ORD00033,CUST0961,2026-04-19 03:05:00,349.15,Placed
ORD00034,CUST0509,2026-01-19 19:59:00,1620.46,Cancelled
ORD00035,CUST0297,2026-03-13 13:13:00,1191.11,Delivered
ORD00036,CUST0974,2025-03-05 11:50:00,1284.9,Delivered
ORD00037,CUST0230,2025-09-17 09:17:00,734.8,Delivered
ORD00039,CUST0760,2025-11-04 10:21:00,1473.25,Delivered
ORD00040,CUST0198,2025-11-12 20:25:00,2023.2,Cancelled
ORD00041,CUST0400,2026-05-16 23:11:00,863.5,Preparing
ORD00042,CUST0821,2025-03-06 16:07:00,1982.28,Out For Delivery
ORD00043,CUST0331,2025-04-15 02:05:00,127.69,Cancelled
ORD00044,CUST0557,2026-04-17 02:36:00,1881.62,Preparing
ORD00045,CUST0797,2025-07-03 05:15:00,632.21,Preparing
ORD00046,CUST0799,2026-02-18 12:49:00,224.2,Placed
ORD00047,CUST0654,2025-10-24 03:07:00,1530.15,Placed
ORD00048,CUST0185,2025-02-17 02:31:00,2290.53,Preparing
ORD00049,CUST0023,2025-07-31 02:31:00,283.15,Delivered
ORD00050,CUST0931,2025-08-19 05:11:00,2268.73,Cancelled
ORD00051,CUST0121,2026-05-15 10:22:00,1284.9,Cancelled
ORD00052,CUST0261,2026-04-20 03:12:00,1386.29,Cancelled
ORD00053,CUST0888,2025-07-06 03:57:00,886.1,Preparing
ORD00054,CUST0130,2025-05-18 08:30:00,320.73,Cancelled
ORD00055,CUST0829,2025-09-11 13:32:00,2313.64,Out For Delivery
ORD00056,CUST0909,2026-01-03 08:25:00,2003.57,Cancelled
ORD00057,CUST0977,2026-01-05 15:27:00,1116.97,Out For Delivery
ORD00058,CUST0622,2025-07-16 13:12:00,997.51,Placed
ORD00059,CUST0982,2025-09-19 08:37:00,1549.32,Cancelled
ORD00062,CUST0330,2026-04-06 07:35:00,780.67,Preparing
ORD00063,CUST0285,2026-01-02 19:56:00,1711.23,Cancelled
ORD00064,CUST0775,2025-08-11 10:52:00,573.1,Delivered
ORD00065,CUST0432,2025-03-03 03:28:00,884.5,Delivered
ORD00067,CUST0413,2025-01-19 17:58:00,909.74,Placed
ORD00068,CUST0822,2025-08-01 23:19:00,1908.86,Delivered
ORD00069,CUST0506,2025-11-10 01:25:00,2461.52,Delivered
ORD00070,CUST0125,2026-03-08 11:39:00,637.63,Placed
ORD00071,CUST0883,2025-12-19 23:27:00,311.24,Out For Delivery
ORD00072,CUST0006,2026-04-24 22:55:00,2219.97,Placed
ORD00073,CUST0077,2025-05-16 10:44:00,2049.97,Out For Delivery
ORD00074,CUST0598,2025-08-24 03:08:00,455.2,Cancelled
ORD00075,CUST0424,2025-11-23 14:42:00,1366.21,Cancelled
ORD00076,CUST0288,2025-06-14 23:30:00,733.15,Out For Delivery
ORD00077,CUST0856,2026-03-23 07:42:00,2154.07,Placed
ORD00078,CUST0218,2025-01-07 21:13:00,1024.14,Delivered
ORD00079,CUST0605,2026-01-25 16:32:00,1925.17,Out For Delivery
ORD00080,CUST0869,2025-09-16 03:58:00,2300.07,Delivered
ORD00081,CUST0526,2025-04-14 12:12:00,1115.43,Out For Delivery
ORD00082,CUST0105,2025-03-17 14:56:00,364.48,Placed
ORD00083,CUST0030,2025-09-01 21:33:00,737.39,Cancelled
ORD00084,CUST0155,2025-07-23 16:27:00,227.58,Out For Delivery
ORD00085,CUST0392,2026-01-10 13:12:00,1066.46,Cancelled
ORD00086,CUST0532,2025-08-10 03:43:00,697.47,Placed
ORD00087,CUST0037,2025-10-22 08:15:00,342.48,Preparing
ORD00088,CUST0415,2025-07-20 12:06:00,2077.76,Out For Delivery
ORD00089,CUST0209,2025-06-27 20:18:00,791.15,Placed
ORD00090,CUST0718,2025-11-15 15:47:00,2276.0,Preparing
ORD00091,CUST0171,2025-04-06 10:57:00,2409.38,Delivered
ORD00093,CUST0598,2025-01-01 15:55:00,362.53,Placed
ORD00094,CUST0856,2025-04-27 16:32:00,451.8,Placed
ORD00095,CUST0344,2025-08-20 15:47:00,1409.72,Delivered
ORD00096,CUST0848,2025-06-30 09:45:00,1342.79,Cancelled
ORD00097,CUST0532,2026-01-08 20:01:00,1084.77,Preparing
ORD00098,CUST0510,2025-01-16 07:36:00,2435.9,Out For Delivery
ORD00099,CUST0943,2026-05-04 12:40:00,757.42,Cancelled
ORD00100,CUST0982,2026-03-25 16:11:00,1729.76,Out For Delivery
ORD00101,CUST0283,2025-06-08 06:02:00,1784.41,Cancelled
ORD00102,CUST0581,2026-05-11 11:18:00,120.0,Preparing
ORD00103,CUST0990,2025-05-29 19:35:00,828.75,Out For Delivery
ORD00104,CUST0465,2025-01-21 06:18:00,396.25,Delivered
ORD00105,CUST0677,2026-03-04 00:03:00,940.52,Out For Delivery
ORD00106,CUST0982,2026-01-29 17:09:00,1811.67,Preparing
ORD00107,CUST0600,2026-04-16 02:18:00,1235.63,Out For Delivery
ORD00108,CUST0396,2025-08-05 12:57:00,727.03,Out For Delivery
ORD00109,CUST0447,2025-12-14 10:51:00,1739.97,Preparing
ORD00110,CUST0205,2025-06-04 09:05:00,2325.08,Delivered
ORD00111,CUST0897,2026-03-03 13:06:00,1160.56,Out For Delivery
ORD00112,CUST0367,2025-08-28 11:27:00,1284.9,Delivered
ORD00113,CUST0981,2026-01-28 13:05:00,1576.5,Out For Delivery
ORD00114,CUST0383,2025-03-07 19:34:00,2206.73,Placed
ORD00115,CUST0413,2025-12-10 00:29:00,2199.79,Delivered
ORD00116,CUST0277,2026-03-01 20:06:00,333.76,Out For Delivery
ORD00117,CUST0886,2025-02-01 03:47:00,1325.97,Placed
ORD00118,CUST0576,2026-01-15 15:08:00,1721.63,Preparing
ORD00119,CUST0960,2025-01-04 15:39:00,375.3,Placed
ORD00120,CUST0533,2025-02-19 07:13:00,159.18,Cancelled
ORD00121,CUST0125,2025-06-03 12:30:00,2068.65,Cancelled
ORD00122,CUST0450,2026-03-16 21:39:00,450.99,Placed
ORD00123,CUST0674,2025-05-04 05:32:00,1412.03,Delivered
ORD00124,CUST0103,2026-05-07 18:31:00,760.44,Delivered
ORD00125,CUST0427,2026-02-21 13:09:00,1197.0,Cancelled
ORD00126,CUST0035,2025-11-27 20:57:00,1166.75,Out For Delivery
ORD00127,CUST0741,2025-08-23 08:00:00,958.59,Cancelled
ORD00128,CUST0538,2025-07-19 16:04:00,463.37,Cancelled
ORD00129,CUST0806,2025-03-13 08:50:00,827.03,Delivered
ORD00130,CUST0496,2025-07-12 15:38:00,1482.49,Cancelled
ORD00131,CUST0133,2025-12-24 10:37:00,935.43,Cancelled
ORD00132,CUST0031,2026-03-13 23:10:00,1696.63,Delivered
ORD00133,CUST0779,2025-04-29 23:50:00,2259.51,Preparing
ORD00134,CUST0997,2025-08-04 02:03:00,374.74,Placed
ORD00135,CUST0647,2026-03-07 00:59:00,358.39,Delivered
ORD00136,CUST0588,2025-10-12 06:12:00,1150.04,Out For Delivery
ORD00137,CUST0445,2026-02-21 16:51:00,306.44,Placed
ORD00139,CUST0190,2025-12-16 23:58:00,1367.57,Preparing
ORD00140,CUST0486,2025-09-14 11:22:00,1440.87,Preparing
ORD00141,CUST0641,2025-07-12 02:36:00,1977.73,Out For Delivery
ORD00142,CUST0053,2025-11-04 17:21:00,2071.19,Out For Delivery
ORD00143,CUST0721,2025-07-03 02:55:00,2423.48,Placed
ORD00144,CUST0531,2026-04-23 19:32:00,1584.75,Cancelled
ORD00145,CUST0483,2026-04-25 08:41:00,911.31,Out For Delivery
ORD00146,CUST0061,2025-03-13 06:35:00,891.06,Placed
ORD00147,CUST0971,2025-10-16 19:44:00,2037.97,Out For Delivery
ORD00148,CUST0613,2026-01-14 19:59:00,1423.42,Preparing
ORD00149,CUST0037,2025-09-12 16:14:00,1135.64,Out For Delivery
ORD00150,CUST0234,2025-01-11 01:01:00,2047.27,Cancelled
ORD00151,CUST0701,2026-01-13 00:35:00,1029.1,Delivered
ORD00152,CUST0438,2025-10-09 04:07:00,2253.15,Out For Delivery
ORD00153,CUST0941,2025-01-30 07:14:00,124.12,Delivered
ORD00154,CUST0813,2025-10-02 18:02:00,135.76,Preparing
ORD00155,CUST0130,2025-08-13 05:18:00,939.2,Preparing
ORD00156,CUST0408,2025-09-03 21:07:00,283.31,Cancelled
ORD00157,CUST0833,2025-07-02 07:28:00,2359.42,Cancelled
ORD00158,CUST0540,2026-04-03 08:20:00,1308.27,Placed
ORD00159,CUST0974,2025-11-15 15:17:00,2288.92,Cancelled
ORD00160,CUST0216,2025-03-04 11:46:00,440.71,Preparing
ORD00161,CUST0465,2026-05-03 03:01:00,181.01,Out For Delivery
ORD00162,CUST0989,2025-02-13 01:17:00,1021.45,Placed
ORD00163,CUST0046,2025-04-25 06:24:00,1134.6,Placed
ORD00164,CUST0782,2025-06-28 00:58:00,2243.61,Out For Delivery
ORD00165,CUST0776,2025-01-15 10:46:00,1141.78,Delivered
ORD00166,CUST0771,2025-01-30 03:35:00,1831.11,Out For Delivery
ORD00167,CUST0475,2025-08-06 18:46:00,1345.39,Preparing
ORD00168,CUST0947,2025-05-02 04:58:00,2019.01,Out For Delivery
ORD00169,CUST0556,2025-06-01 10:36:00,1577.31,Out For Delivery
ORD00170,CUST0669,2026-02-19 19:00:00,1464.26,Out For Delivery
ORD00172,CUST0224,2025-07-29 01:37:00,763.47,Cancelled
ORD00173,CUST0452,2025-04-03 08:49:00,722.9,Delivered
ORD00174,CUST0151,2026-03-23 19:41:00,374.67,Placed
ORD00175,CUST0451,2025-10-24 10:02:00,647.09,Out For Delivery
ORD00177,CUST0116,2025-09-19 02:15:00,1468.88,Delivered
ORD00178,CUST0290,2025-03-15 00:20:00,964.69,Delivered
ORD00179,CUST0966,2026-05-14 09:39:00,983.92,Out For Delivery
ORD00180,CUST0027,2025-02-24 19:13:00,1325.91,Cancelled
ORD00181,CUST0963,2025-04-21 12:53:00,1676.94,Preparing
ORD00182,CUST0081,2026-05-05 02:59:00,1456.97,Cancelled
ORD00183,CUST0552,2026-01-11 03:54:00,2015.69,Cancelled
ORD00184,CUST0452,2025-06-12 08:12:00,803.36,Preparing
ORD00185,CUST0371,2025-04-29 14:20:00,377.0,Preparing
ORD00186,CUST0420,2025-07-05 02:22:00,283.47,Out For Delivery
ORD00187,CUST0460,2026-02-07 13:14:00,2084.28,Preparing
ORD00188,CUST0932,2025-07-28 21:37:00,1553.31,Out For Delivery
ORD00189,CUST0419,2025-08-04 16:09:00,1618.31,Preparing
ORD00190,CUST0016,2025-03-27 03:26:00,1430.99,Delivered
ORD00191,CUST0035,2026-03-03 13:01:00,2475.84,Preparing
ORD00192,CUST0398,2026-04-08 13:22:00,1772.63,Preparing
ORD00193,CUST0919,2026-02-27 10:37:00,358.65,Placed
ORD00194,CUST0973,2025-08-18 13:40:00,2103.53,Out For Delivery
ORD00195,CUST0752,2025-04-04 23:49:00,2068.25,Cancelled
ORD00196,CUST0608,2025-10-31 11:43:00,1010.5,Delivered
