restaurant_id,restaurant_name,cuisine,rating,effective_from,effective_to,is_current
R1,Restaurant_0,Indian,4.0,2026-01-01,2026-04-10,False
R1,Restaurant_0,Indian,4.0,2026-04-11,,True
R2,Restaurant_1,Chinese,4.3,2026-01-01,,True
R3,Restaurant_2,Indian,4.2,2026-01-01,2026-04-10,False
R3,Restaurant_2,Indian,4.2,2026-04-11,,True
R4,Restaurant_3,Fast Food,3.9,2026-01-01,,True
R5,Restaurant_4,Fast Food,3.6,2026-01-01,,True
R6,Restaurant_5,Indian,4.2,2026-01-01,2026-04-10,False
R6,Restaurant_5,Indian,4.7,2026-04-11,,True
R7,Restaurant_6,Italian,4.2,2026-01-01,,True
R8,Restaurant_7,Italian,4.2,2026-01-01,,True
R9,Restaurant_8,Chinese,3.9,2026-01-01,,True
R10,Restaurant_9,Chinese,4.2,2026-01-01,,True
R11,Restaurant_10,Chinese,4.0,2026-01-01,,True
R12,Restaurant_11,Indian,4.0,2026-01-01,2026-04-10,False
R12,Restaurant_11,Indian,3.5,2026-04-11,,True
R13,Restaurant_12,Italian,4.1,2026-01-01,2026-04-10,False
R13,Restaurant_12,Italian,4.1,2026-04-11,,True
R14,Restaurant_13,Chinese,4.2,2026-01-01,,True
R15,Restaurant_14,Italian,4.1,2026-01-01,2026-04-10,False
R15,Restaurant_14,Italian,4.0,2026-04-11,,True
R16,Restaurant_15,Fast Food,4.4,2026-01-01,,True
R17,Restaurant_16,Fast Food,3.9,2026-01-01,2026-04-10,False
R17,Restaurant_16,Fast Food,4.0,2026-04-11,,True
R18,Restaurant_17,Italian,3.7,2026-01-01,2026-04-10,False
R18,Restaurant_17,Italian,4.2,2026-04-11,,True
R19,Restaurant_18,Chinese,4.0,2026-01-01,2026-04-10,False
R19,Restaurant_18,Chinese,3.7,2026-04-11,,True
R20,Restaurant_19,Fast Food,4.1,2026-01-01,,True
R21,Restaurant_20,Indian,4.3,2026-01-01,,True
R22,Restaurant_21,Italian,4.0,2026-01-01,2026-04-10,False
R22,Restaurant_21,Italian,4.3,2026-04-11,,True
R23,Restaurant_22,Italian,3.8,2026-01-01,,True
R24,Restaurant_23,Fast Food,3.7,2026-01-01,,True
R25,Restaurant_24,Indian,4.4,2026-01-01,,True
R26,Restaurant_25,Italian,3.8,2026-01-01,,True
R27,Restaurant_26,Fast Food,3.7,2026-01-01,2026-04-10,False
R27,Restaurant_26,Fast Food,3.5,2026-04-11,,True
R28,Restaurant_27,Chinese,4.5,2026-01-01,2026-04-10,False
R28,Restaurant_27,Chinese,4.5,2026-04-11,,True
R29,Restaurant_28,Italian,3.7,2026-01-01,,True
R30,Restaurant_29,Indian,4.0,2026-01-01,2026-04-10,False
R30,Restaurant_29,Indian,4.2,2026-04-11,,True
R31,Restaurant_30,Italian,3.9,2026-01-01,,True
R32,Restaurant_31,Chinese,4.2,2026-01-01,,True
R33,Restaurant_32,Fast Food,3.9,2026-01-01,,True
R34,Restaurant_33,Indian,3.6,2026-01-01,,True
R35,Restaurant_34,Chinese,4.4,2026-01-01,,True
R36,Restaurant_35,Italian,3.8,2026-01-01,,True
R37,Restaurant_36,Italian,4.1,2026-01-01,,True
R38,Restaurant_37,Chinese,4.1,2026-01-01,,True
R39,Restaurant_38,Chinese,4.0,2026-01-01,2026-04-10,False
R39,Restaurant_38,Chinese,3.5,2026-04-11,,True
R40,Restaurant_39,Chinese,4.2,2026-01-01,2026-04-10,False
R40,Restaurant_39,Chinese,3.7,2026-04-11,,True
R41,Restaurant_40,Italian,4.2,2026-01-01,,True
R42,Restaurant_41,Indian,4.1,2026-01-01,,True
R43,Restaurant_42,Italian,4.3,2026-01-01,2026-04-10,False
R43,Restaurant_42,Italian,4.2,2026-04-11,,True
R44,Restaurant_43,Indian,3.9,2026-01-01,2026-04-10,False
R44,Restaurant_43,Indian,4.0,2026-04-11,,True
R45,Restaurant_44,Chinese,3.9,2026-01-01,,True
R46,Restaurant_45,Italian,4.3,2026-01-01,,True
R47,Restaurant_46,Indian,4.2,2026-01-01,,True
R48,Restaurant_47,Indian,3.7,2026-01-01,2026-04-10,False
R48,Restaurant_47,Indian,3.9,2026-04-11,,True
R49,Restaurant_48,Fast Food,4.1,2026-01-01,2026-04-10,False
R49,Restaurant_48,Fast Food,4.4,2026-04-11,,True
R50,Restaurant_49,Chinese,4.2,2026-01-01,2026-04-10,False
R50,Restaurant_49,Chinese,4.6,2026-04-11,,True
R51,Restaurant_50,Indian,3.8,2026-01-01,2026-04-10,False
R51,Restaurant_50,Indian,3.8,2026-04-11,,True
R52,Restaurant_51,Italian,3.9,2026-01-01,2026-04-10,False
R52,Restaurant_51,Italian,3.4,2026-04-11,,True
R53,Restaurant_52,Fast Food,4.5,2026-01-01,,True
R54,Restaurant_53,Fast Food,3.7,2026-01-01,2026-04-10,False
R54,Restaurant_53,Fast Food,3.3,2026-04-11,,True
R55,Restaurant_54,Indian,4.3,2026-01-01,2026-04-10,False
R55,Restaurant_54,Indian,4.2,2026-04-11,,True
R56,Restaurant_55,Chinese,3.8,2026-01-01,,True
R57,Restaurant_56,Chinese,4.2,2026-01-01,2026-04-10,False
R57,Restaurant_56,Chinese,3.9,2026-04-11,,True
R58,Restaurant_57,Italian,4.1,2026-01-01,,True
R59,Restaurant_58,Fast Food,3.8,2026-01-01,,True
R60,Restaurant_59,Italian,4.2,2026-01-01,,True
R61,Restaurant_60,Indian,4.1,2026-01-01,2026-04-10,False
R61,Restaurant_60,Indian,3.7,2026-04-11,,True
R62,Restaurant_61,Indian,3.9,2026-01-01,,True
R63,Restaurant_62,Fast Food,4.1,2026-01-01,,True
R64,Restaurant_63,Fast Food,4.4,2026-01-01,2026-04-10,False
R64,Restaurant_63,Fast Food,4.0,2026-04-11,,True
R65,Restaurant_64,Fast Food,4.0,2026-01-01,,True
R66,Restaurant_65,Fast Food,4.4,2026-01-01,,True
R67,Restaurant_66,Fast Food,3.9,2026-01-01,2026-04-10,False
R67,Restaurant_66,Fast Food,3.8,2026-04-11,,True
R68,Restaurant_67,Chinese,4.1,2026-01-01,,True
R69,Restaurant_68,Chinese,3.5,2026-01-01,,True
R70,Restaurant_69,Indian,3.9,2026-01-01,2026-04-10,False
R70,Restaurant_69,Indian,3.6,2026-04-11,,True
R71,Restaurant_70,Italian,4.4,2026-01-01,,True
R72,Restaurant_71,Indian,3.5,2026-01-01,,True
R73,Restaurant_72,Indian,3.7,2026-01-01,,True
R74,Restaurant_73,Fast Food,3.8,2026-01-01,2026-04-10,False
R74,Restaurant_73,Fast Food,3.8,2026-04-11,,True
R75,Restaurant_74,Chinese,4.1,2026-01-01,,True
R76,Restaurant_75,Indian,4.0,2026-01-01,,True
R77,Restaurant_76,Fast Food,4.4,2026-01-01,,True
R78,Restaurant_77,Italian,4.3,2026-01-01,,True
R79,Restaurant_78,Italian,3.6,2026-01-01,,True
R80,Restaurant_79,Italian,4.2,2026-01-01,,True
R81,Restaurant_80,Fast Food,3.6,2026-01-01,2026-04-10,False
R81,Restaurant_80,Fast Food,3.9,2026-04-11,,True
R82,Restaurant_81,Chinese,3.5,2026-01-01,2026-04-10,False
R82,Restaurant_81,Chinese,3.3,2026-04-11,,True
R83,Restaurant_82,Italian,4.2,2026-01-01,,True
R84,Restaurant_83,Fast Food,4.3,2026-01-01,,True
R85,Restaurant_84,Italian,3.7,2026-01-01,,True
R86,Restaurant_85,Chinese,4.5,2026-01-01,,True
R87,Restaurant_86,Fast Food,3.9,2026-01-01,,True
R88,Restaurant_87,Italian,3.8,2026-01-01,2026-04-10,False
R88,Restaurant_87,Italian,3.6,2026-04-11,,True
R89,Restaurant_88,Indian,3.6,2026-01-01,2026-04-10,False
R89,Restaurant_88,Indian,4.1,2026-04-11,,True
R90,Restaurant_89,Italian,3.8,2026-01-01,,True
R91,Restaurant_90,Indian,4.5,2026-01-01,,True
R92,Restaurant_91,Chinese,4.1,2026-01-01,,True
R93,Restaurant_92,Indian,4.0,2026-01-01,2026-04-10,False
R93,Restaurant_92,Indian,3.9,2026-04-11,,True
R94,Restaurant_93,Italian,3.7,2026-01-01,,True
R95,Restaurant_94,Chinese,3.7,2026-01-01,2026-04-10,False
R95,Restaurant_94,Chinese,3.3,2026-04-11,,True
R96,Restaurant_95,Italian,4.1,2026-01-01,,True
R97,Restaurant_96,Chinese,4.0,2026-01-01,,True
R98,Restaurant_97,Chinese,3.5,2026-01-01,2026-04-10,False
R98,Restaurant_97,Chinese,3.5,2026-04-11,,True
R99,Restaurant_98,Fast Food,4.0,2026-01-01,,True
R100,Restaurant_99,Italian,4.0,2026-01-01,,True
R101,Restaurant_100,Chinese,4.1,2026-01-01,2026-04-10,False
R101,Restaurant_100,Chinese,4.4,2026-04-11,,True
R102,Restaurant_101,Indian,4.3,2026-01-01,,True
R103,Restaurant_102,Fast Food,3.8,2026-01-01,2026-04-10,False
R103,Restaurant_102,Fast Food,3.5,2026-04-11,,True
R104,Restaurant_103,Italian,4.1,2026-01-01,,True
R105,Restaurant_104,Indian,4.3,2026-01-01,,True
R106,Restaurant_105,Chinese,4.3,2026-01-01,,True
R107,Restaurant_106,Italian,3.6,2026-01-01,2026-04-10,False
R107,Restaurant_106,Italian,3.3,2026-04-11,,True
R108,Restaurant_107,Indian,3.9,2026-01-01,2026-04-10,False
R108,Restaurant_107,Indian,3.5,2026-04-11,,True
R109,Restaurant_108,Italian,4.0,2026-01-01,,True
R110,Restaurant_109,Indian,3.8,2026-01-01,,True
R111,Restaurant_110,Fast Food,3.5,2026-01-01,,True
R112,Restaurant_111,Chinese,4.5,2026-01-01,2026-04-10,False
R112,Restaurant_111,Chinese,4.8,2026-04-11,,True
R113,Restaurant_112,Indian,4.5,2026-01-01,2026-04-10,False
R113,Restaurant_112,Indian,4.7,2026-04-11,,True
R114,Restaurant_113,Indian,4.3,2026-01-01,2026-04-10,False
R114,Restaurant_113,Indian,4.2,2026-04-11,,True
