item_id,order_id,product_id,quantity,unit_price,subtotal
ITEM000001,ORD02127,PROD138,1,276.16,276.16
ITEM000002,ORD04571,PROD012,5,584.13,2920.65
ITEM000003,ORD02089,PROD045,4,174.17,696.68
ITEM000004,ORD00913,PROD141,4,195.15,780.6
ITEM000005,ORD02797,PROD032,4,167.64,670.56
ITEM000006,ORD03881,PROD061,6,445.66,2673.96
ITEM000007,ORD00165,PROD056,1,476.87,476.87
ITEM000008,ORD03403,PROD031,4,177.21,708.84
ITEM000009,ORD04470,PROD148,6,599.22,3595.32
ITEM000010,ORD01412,PROD020,5,153.96,769.8
ITEM000011,ORD01486,PROD127,4,539.19,2156.76
ITEM000012,ORD03605,PROD117,1,344.32,344.32
ITEM000013,ORD04251,PROD092,4,507.26,2029.04
ITEM000014,ORD01414,PROD081,2,498.24,996.48
ITEM000015,ORD01550,PROD018,2,632.99,1265.98
ITEM000016,ORD01054,PROD123,1,773.05,773.05
ITEM000017,ORD01522,PROD017,5,134.96,674.8
ITEM000018,ORD00755,PROD001,4,667.13,2668.52
ITEM000019,ORD03502,PROD051,1,207.15,207.15
ITEM000020,ORD02440,PROD142,2,194.87,389.74
ITEM000021,ORD02642,PROD058,3,233.62,700.86
ITEM000022,ORD01433,PROD023,1,125.17,125.17
ITEM000023,ORD03306,PROD018,3,484.49,1453.47
ITEM000024,ORD04677,PROD115,4,81.71,326.84
ITEM000025,ORD00016,PROD137,6,594.16,3564.96
ITEM000026,ORD00337,PROD069,2,297.31,594.62
ITEM000027,ORD01581,PROD121,5,432.72,2163.6
ITEM000028,ORD01888,PROD111,2,364.52,729.04
ITEM000029,ORD02556,PROD149,5,707.27,3536.35
ITEM000030,ORD01590,PROD106,4,621.02,2484.08
ITEM000031,ORD03089,PROD006,3,155.45,466.35
ITEM000032,ORD04996,PROD020,1,510.65,510.65
ITEM000033,ORD01741,PROD088,1,373.15,373.15
ITEM000034,ORD01389,PROD149,6,205.29,1231.74
ITEM000035,ORD00774,PROD005,2,433.7,867.4
ITEM000036,ORD01573,PROD011,0,326.81,326.81
ITEM000037,ORD03011,PROD077,4,788.2,3152.8
ITEM000038,ORD00499,PROD100,5,75.83,379.15
ITEM000039,ORD00253,PROD9999,3,561.61,1684.83
ITEM000040,ORD04267,PROD9999,6,626.59,3759.54
ITEM000041,ORD02247,PROD062,4,50.73,202.92
ITEM000042,ORD01522,PROD028,1,732.52,732.52
ITEM000043,ORD01066,PROD122,5,601.56,3007.8
ITEM000044,ORD00387,PROD018,2,334.46,668.92
ITEM000045,ORD02597,PROD146,2,63.55,127.1
ITEM000046,ORD04702,PROD053,4,68.79,275.16
ITEM000047,ORD00611,PROD134,1,130.56,130.56
ITEM000048,ORD01776,PROD107,1,518.05,518.05
ITEM000049,ORD02982,PROD051,6,250.06,1500.36
ITEM000050,ORD00482,PROD9999,5,360.54,1802.7
ITEM000051,ORD02743,PROD008,3,215.33,645.99
ITEM000052,ORD03540,PROD079,6,791.49,4748.94
ITEM000053,ORD04601,PROD139,1,698.11,698.11
ITEM000054,ORD00354,PROD071,5,712.6,3563.0
ITEM000055,ORD00797,PROD146,6,207.74,1246.44
ITEM000056,ORD02728,PROD116,6,765.06,4590.36
ITEM000057,ORD04635,PROD051,0,123.61,618.05
ITEM000058,ORD04745,PROD102,4,423.21,1692.84
ITEM000059,ORD02952,PROD130,3,557.34,1672.02
ITEM000060,ORD00351,PROD049,5,245.32,1226.6
ITEM000061,ORD04218,PROD136,5,790.32,3951.6
ITEM000062,ORD04423,PROD084,4,435.44,1741.76
ITEM000063,ORD04460,PROD123,1,210.77,210.77
ITEM000064,ORD01257,PROD142,5,357.14,1785.7
ITEM000065,ORD02907,PROD016,4,239.01,956.04
ITEM000066,ORD01548,PROD006,6,494.39,2966.34
ITEM000067,ORD02243,PROD9999,1,607.72,607.72
ITEM000068,ORD03165,PROD009,1,77.9,77.9
ITEM000069,ORD02494,PROD028,6,687.75,4126.5
ITEM000070,ORD01576,PROD130,1,56.29,56.29
ITEM000071,ORD02666,PROD084,2,574.79,1149.58
ITEM000072,ORD02959,PROD070,3,125.85,377.55
ITEM000073,ORD04621,PROD016,1,733.56,733.56
ITEM000074,ORD01059,PROD038,5,241.81,1209.05
ITEM000075,ORD00907,PROD079,5,777.14,3885.7
ITEM000076,ORD00310,PROD088,2,748.57,1497.14
ITEM000077,ORD01012,PROD106,6,472.68,2836.08
ITEM000078,ORD00495,PROD9999,1,173.52,173.52
ITEM000079,ORD00188,PROD117,5,669.19,3345.95
ITEM000080,ORD03197,PROD063,2,216.05,432.1
ITEM000081,ORD01575,PROD079,1,270.07,270.07
ITEM000082,ORD01392,PROD130,1,612.48,612.48
ITEM000083,ORD00457,PROD052,5,555.45,2777.25
ITEM000084,ORD00112,PROD095,1,511.07,511.07
ITEM000085,ORD02215,PROD018,4,457.55,1830.2
ITEM000086,ORD03651,PROD022,1,575.11,575.11
ITEM000087,ORD01002,PROD096,5,109.68,548.4
ITEM000088,ORD03773,PROD147,5,610.79,3053.95
ITEM000089,ORD02782,PROD142,3,494.72,1484.16
ITEM000090,ORD01372,PROD066,2,520.19,1040.38
ITEM000091,ORD01625,PROD079,2,248.37,496.74
ITEM000092,ORD01406,PROD016,6,171.58,1029.48
ITEM000093,ORD03760,PROD099,3,631.2,1893.6
ITEM000094,ORD02153,PROD080,6,301.7,1810.2
ITEM000095,ORD02001,PROD093,4,152.89,611.56
ITEM000096,ORD00496,PROD072,1,214.7,214.7
ITEM000097,ORD00540,PROD078,3,188.69,566.07
ITEM000098,ORD03917,PROD008,3,301.86,905.58
ITEM000099,ORD01091,PROD122,1,756.82,756.82
ITEM000100,ORD02505,PROD103,5,751.27,3756.35
ITEM000101,ORD04245,PROD048,3,352.13,1056.39
ITEM000102,ORD02505,PROD055,3,61.56,184.68
ITEM000103,ORD02376,PROD098,4,175.92,703.68
ITEM000104,ORD01784,PROD130,1,759.18,759.18
ITEM000105,ORD02316,PROD013,6,761.61,4569.66
ITEM000106,ORD00373,PROD037,4,660.92,2643.68
ITEM000107,ORD01167,PROD095,5,593.73,2968.65
ITEM000108,ORD01133,PROD142,1,656.15,656.15
ITEM000109,ORD00610,PROD104,6,696.94,4181.64
ITEM000110,ORD02519,PROD106,5,414.92,2074.6
ITEM000111,ORD04318,PROD149,3,723.14,2169.42
ITEM000112,ORD04048,PROD117,2,229.91,459.82
ITEM000113,ORD00963,PROD095,5,350.49,1752.45
ITEM000114,ORD01723,PROD046,6,680.39,4082.34
ITEM000115,ORD02340,PROD149,2,384.48,768.96
ITEM000116,ORD04518,PROD007,5,552.54,2762.7
ITEM000117,ORD00537,PROD128,5,243.63,1218.15
ITEM000118,ORD01280,PROD067,5,501.79,2508.95
ITEM000119,ORD01893,PROD053,4,342.3,1369.2
ITEM000120,ORD04414,PROD118,1,139.65,139.65
ITEM000121,ORD04310,PROD126,6,380.4,2282.4
ITEM000122,ORD03799,PROD107,4,779.29,3117.16
ITEM000123,ORD01028,PROD061,6,790.75,4744.5
ITEM000124,ORD04232,PROD134,1,288.24,288.24
ITEM000125,ORD00991,PROD086,3,520.9,1562.7
ITEM000126,ORD03590,PROD008,6,395.21,2371.26
ITEM000127,ORD03621,PROD080,6,529.92,3179.52
ITEM000128,ORD00162,PROD051,1,632.17,632.17
ITEM000129,ORD01410,PROD045,1,528.74,528.74
ITEM000130,ORD03129,PROD033,3,89.2,267.6
ITEM000131,ORD01332,PROD027,4,401.86,1607.44
ITEM000132,ORD02628,PROD104,3,734.4,2203.2
ITEM000133,ORD01770,PROD040,5,608.31,3041.55
ITEM000134,ORD01042,PROD019,1,363.79,363.79
ITEM000135,ORD03749,PROD088,2,585.55,1171.1
ITEM000136,ORD00876,PROD132,4,364.53,1458.12
ITEM000137,ORD01900,PROD096,1,91.21,91.21
ITEM000138,ORD00961,PROD088,4,590.5,2362.0
ITEM000139,ORD01470,PROD001,4,596.22,2384.88
ITEM000140,ORD03181,PROD030,6,590.61,3543.66
ITEM000141,ORD04259,PROD090,2,213.07,426.14
ITEM000142,ORD00592,PROD007,1,646.07,646.07
ITEM000143,ORD04668,PROD104,6,75.57,453.42
ITEM000144,ORD01178,PROD048,1,677.38,677.38
ITEM000145,ORD03820,PROD097,4,492.68,1970.72
ITEM000146,ORD00225,PROD111,3,225.77,677.31
ITEM000147,ORD01736,PROD046,2,74.6,149.2
ITEM000148,ORD01778,PROD012,4,393.06,1572.24
ITEM000149,ORD02080,PROD086,5,474.81,2374.05
ITEM000150,ORD02401,PROD102,1,111.53,111.53
ITEM000151,ORD03860,PROD136,4,766.56,3066.24
ITEM000152,ORD04227,PROD027,1,654.91,654.91
ITEM000153,ORD04756,PROD054,5,216.89,1084.45
ITEM000154,ORD01724,PROD086,1,252.32,252.32
ITEM000155,ORD03257,PROD048,3,258.99,776.97
ITEM000156,ORD02051,PROD072,1,744.7,744.7
ITEM000157,ORD03245,PROD094,3,523.25,1569.75
ITEM000158,ORD01609,PROD147,4,91.77,367.08
ITEM000159,ORD03121,PROD099,5,671.95,3359.75
ITEM000160,ORD03114,PROD039,5,692.98,3464.9
ITEM000161,ORD03005,PROD022,5,611.17,3055.85
ITEM000162,ORD04009,PROD009,2,513.46,1026.92
ITEM000163,ORD00270,PROD053,3,360.17,1080.51
ITEM000164,ORD03696,PROD071,4,550.66,2202.64
ITEM000165,ORD03255,PROD9999,5,620.02,3100.1
ITEM000166,ORD00697,PROD009,4,290.17,1160.68
ITEM000167,ORD01525,PROD125,5,103.46,517.3
ITEM000168,ORD04168,PROD047,3,502.09,1506.27
ITEM000169,ORD04766,PROD075,2,622.07,1244.14
ITEM000170,ORD01164,PROD064,5,242.94,1214.7
ITEM000171,ORD03920,PROD100,1,417.47,417.47
ITEM000172,ORD01310,PROD094,5,723.6,3618.0
ITEM000173,ORD01930,PROD004,4,488.98,1955.92
ITEM000174,ORD02316,PROD052,6,660.23,3961.38
ITEM000175,ORD03215,PROD029,3,674.9,2024.7
ITEM000176,ORD03397,PROD098,6,438.25,2629.5
ITEM000177,ORD04824,PROD086,2,88.14,176.28
ITEM000178,ORD03970,PROD004,5,201.28,1006.4
ITEM000179,ORD02302,PROD002,5,166.54,832.7
ITEM000180,ORD03708,PROD068,2,561.66,1123.32
ITEM000181,ORD03683,PROD128,5,220.75,1103.75
ITEM000182,ORD03340,PROD129,5,258.74,1293.7
ITEM000183,ORD04086,PROD033,5,234.78,1173.9
ITEM000184,ORD03238,PROD131,2,155.98,311.96
ITEM000185,ORD01425,PROD132,1,636.49,636.49
