cohort_month,cohort_size,m0_retention_pct,m1_retention_pct,m2_retention_pct
2025-01,218,100.0,18.8,19.7
2025-02,149,100.0,20.1,20.8
2025-03,150,100.0,18.7,22.7
2025-04,93,100.0,16.1,15.1
2025-05,74,100.0,17.6,27.0
2025-06,67,100.0,22.4,25.4
2025-07,51,100.0,17.6,13.7
2025-08,37,100.0,16.2,16.2
2025-09,25,100.0,32.0,28.0
2025-10,37,100.0,10.8,16.2
2025-11,12,100.0,33.3,41.7
2025-12,18,100.0,22.2,27.8
2026-01,17,100.0,11.8,11.8
2026-02,12,100.0,50.0,33.3
2026-03,8,100.0,50.0,25.0
2026-04,13,100.0,7.7,0.0
2026-05,2,100.0,0.0,0.0
