month,total_orders,unique_customers,total_revenue,average_order_value
2026-05,112,106,138005.49,1232.19
2026-04,255,231,322834.04,1266.02
2026-03,242,214,303164.45,1252.75
2026-02,210,193,257116.84,1224.37
2026-01,226,201,309630.38,1370.05
2025-12,219,206,290895.64,1328.29
2025-11,226,197,281172.51,1244.13
2025-10,238,210,310861.1,1306.14
2025-09,209,189,283856.69,1358.17
2025-08,226,209,283189.34,1253.05
2025-07,230,202,289418.94,1258.34
2025-06,220,201,291864.02,1326.65
2025-05,232,207,291804.94,1257.78
2025-04,222,198,291806.2,1314.44
2025-03,242,223,315678.54,1304.46
2025-02,204,190,248318.98,1217.25
2025-01,249,218,325058.9,1305.46
