product_id,product_name,category,total_units_sold,total_revenue
PROD050,Veg Platter,Fast Food,267,119618.68
PROD149,Paneer Roll,Italian,255,118564.98
PROD130,Tandoori Delight,Beverages,235,115231.64
PROD122,Chicken Noodles,Chinese,233,114997.12
PROD029,Chicken Platter,Desserts,250,114456.16
PROD113,Tandoori Delight,Italian,270,114147.37
PROD052,Special Biryani,Beverages,250,112708.08
PROD112,Garlic Noodles,Chinese,289,110829.04
PROD076,Paneer Curry,Italian,279,110751.91
PROD131,Tandoori Pasta,Biryani,250,110125.36
PROD082,Masala Platter,Desserts,243,108900.23
PROD026,Crispy Delight,South Indian,231,108385.51
PROD063,Tandoori Pasta,Beverages,248,108031.28
PROD002,Butter Delight,Biryani,226,106813.13
PROD095,Special Platter,Chinese,238,106577.31
PROD027,Tandoori Curry,North Indian,231,105898.21
PROD030,Tandoori Biryani,Biryani,240,105840.19
PROD036,Chicken Pasta,South Indian,253,105190.26
PROD071,Chicken Pizza,Biryani,252,104133.89
PROD006,Butter Platter,Italian,241,102503.06
PROD078,Tandoori Pasta,General,228,102442.57
PROD125,Tandoori Curry,Fast Food,226,101411.82
PROD087,Masala Biryani,Fast Food,224,100926.51
PROD068,Garlic Pizza,Italian,239,99233.68
PROD123,Crispy Biryani,Beverages,217,98065.81
PROD094,Butter Noodles,South Indian,201,97611.68
PROD097,Special Pizza,North Indian,206,97521.35
PROD054,Royal Pasta,Desserts,209,96720.56
PROD022,Tandoori Pizza,South Indian,248,96390.35
PROD143,Special Pasta,Fast Food,222,96241.12
PROD140,Veg Noodles,Chinese,206,96014.92
PROD053,Chicken Tikka,Chinese,236,96009.92
PROD090,Special Burger,Beverages,236,95719.59
PROD150,Chicken Delight,North Indian,207,95352.32
PROD017,Paneer Delight,Beverages,236,95220.45
PROD092,Garlic Burger,Italian,199,95114.41
PROD110,Tandoori Curry,Biryani,224,95012.09
PROD049,Tandoori Biryani,Beverages,224,94410.74
PROD098,Paneer Delight,North Indian,237,93061.36
PROD128,Special Biryani,South Indian,233,92892.19
PROD121,Crispy Roll,Italian,208,92856.13
PROD043,Butter Curry,Fast Food,217,92819.73
PROD012,Crispy Delight,Italian,197,92494.78
PROD102,Butter Roll,Fast Food,222,92406.53
PROD091,Veg Burger,Beverages,212,92246.59
PROD056,Crispy Platter,Desserts,205,91705.73
PROD079,Veg Burger,North Indian,194,91500.49
PROD040,Paneer Platter,Fast Food,211,91471.32
PROD032,Royal Platter,North Indian,198,90766.71
PROD137,Veg Pizza,North Indian,191,90453.54
PROD126,Special Burger,Fast Food,210,90143.17
PROD073,Crispy Roll,Beverages,212,90132.11
PROD018,Garlic Noodles,Italian,199,89462.23
PROD062,Chicken Pizza,General,225,89454.86
PROD114,Tandoori Biryani,Chinese,219,89336.8
